Trajectories
100
,,movedBox:segment11,,,movedBox:segment12,,,movedBox:segment22,,,movedBox:segment32,,,movedBox:segment52,,,movedBox:segment62,,,movedBox:segment72,,,movedBox:segment82,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
93,0,-55.9637,1574.69,1378.02,-47.9678,1403.14,1377.22,71.8428,1405.48,1378.61,62.6873,1585.93,1379.12,-76.2446,1575.86,1215.81,-68.0169,1403.67,1218.77,92.953,1409.41,1217.16,83.9778,1582.82,1217.48
94,0,-55.9926,1574.71,1378.03,-47.951,1403.26,1377.41,71.857,1405.47,1378.63,62.645,1585.95,1379.11,-76.2477,1575.78,1215.76,-67.9992,1403.66,1218.83,93.0161,1409.41,1217.27,83.9533,1582.75,1217.43
95,0,-56.0135,1574.74,1378,-47.9633,1403.27,1377.44,71.8469,1405.55,1378.73,62.624,1585.98,1379.08,-76.2137,1575.71,1215.71,-67.6961,1403.47,1218.79,93.087,1409.42,1217.4,83.9725,1582.73,1217.43
96,0,-55.9986,1574.78,1377.94,-47.974,1403.32,1377.49,71.8245,1405.56,1378.78,62.6516,1586.02,1379.05,-76.1989,1575.71,1215.69,-67.9625,1403.56,1218.85,93.0623,1409.35,1217.43,84.0012,1582.65,1217.35
97,0,-55.9568,1574.87,1377.93,-47.9924,1403.39,1377.54,71.8115,1405.57,1378.8,62.7176,1586.04,1379.04,-76.152,1575.74,1215.7,-68.041,1403.58,1218.91,92.9887,1409.3,1217.47,84.0398,1582.62,1217.38
98,0,-55.899,1574.93,1377.93,-48.0118,1403.46,1377.58,71.7915,1405.57,1378.82,62.7572,1586.05,1378.97,-76.1354,1575.76,1215.69,-68.0444,1403.56,1218.9,92.9924,1409.24,1217.47,84.0908,1582.59,1217.36
99,0,-55.8897,1574.99,1377.92,-47.9903,1403.49,1377.58,71.81,1405.61,1378.83,62.7926,1586.11,1378.96,-76.1164,1575.79,1215.69,-68.052,1403.61,1218.95,92.9589,1409.21,1217.44,84.0795,1582.55,1217.29
100,0,-55.8597,1575,1377.82,-47.9545,1403.55,1377.59,71.8274,1405.66,1378.84,62.8028,1586.17,1378.92,-76.0935,1575.78,1215.62,-67.9555,1403.55,1218.88,93.065,1409.26,1217.49,84.1113,1582.58,1217.27
101,0,-55.8674,1575.02,1377.74,-47.9339,1403.57,1377.55,71.8686,1405.76,1378.85,62.7824,1586.24,1378.87,-76.0498,1575.76,1215.54,-67.9097,1403.56,1218.87,93.0969,1409.26,1217.43,84.1617,1582.66,1217.28
102,0,-55.8445,1575.09,1377.7,-47.8785,1403.63,1377.52,71.9088,1405.77,1378.82,62.8218,1586.3,1378.81,-75.996,1575.76,1215.44,-67.608,1403.49,1218.8,93.1917,1409.32,1217.5,84.2237,1582.66,1217.19
