Trajectories
100
,,box:segment11,,,box:segment12,,,box:segment13,,,box:segment14,,,box:segment23,,,box:segment24,,,box:segment33,,,box:segment43,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
73,0,111.195,-68.6062,199.755,-70.0201,-69.5024,198.906,-66.283,50.3752,199.73,105.32,50.5287,200.779,-65.0727,71.0112,39.2711,108.54,71.5457,36.7629,-67.6818,-87.5435,36.1991,106.428,-85.5814,35.6809
74,0,111.203,-68.5782,199.781,-70.0252,-69.4851,198.936,-66.2881,50.3822,199.724,105.317,50.5021,200.797,-65.0852,71.0247,39.2688,108.531,71.5348,36.7427,-67.69,-87.5355,36.2118,106.391,-85.5947,35.7153
75,0,111.192,-68.5712,199.766,-70.0112,-69.4997,198.928,-66.2954,50.3754,199.723,105.321,50.5056,200.804,-65.1037,71.0352,39.2848,108.52,71.5045,36.7253,-67.682,-87.5436,36.2079,106.404,-85.6182,35.7358
76,0,111.198,-68.5882,199.778,-70.0097,-69.4992,198.907,-66.2932,50.3598,199.734,105.313,50.5022,200.801,-65.0777,71.0371,39.3064,108.538,71.4915,36.7081,-67.6688,-87.5194,36.1713,106.4,-85.6546,35.7569
77,0,111.199,-68.5721,199.771,-70.0321,-69.4951,198.928,-66.3085,50.373,199.716,105.325,50.5239,200.786,-65.0801,71.0378,39.2895,108.52,71.4992,36.7324,-67.6968,-87.5428,36.2134,106.425,-85.6621,35.7707
78,0,111.191,-68.5926,199.76,-70.0146,-69.498,198.931,-66.2919,50.3679,199.733,105.325,50.5067,200.78,-65.0687,71.0094,39.2808,108.535,71.5247,36.7598,-67.7044,-87.574,36.2324,106.411,-85.6363,35.7089
79,0,111.192,-68.6054,199.768,-70.0125,-69.4967,198.91,-66.2853,50.3908,199.722,105.327,50.5252,200.817,-65.0769,71.0663,39.3083,108.534,71.5328,36.7563,-67.7011,-87.5336,36.1818,106.423,-85.6768,35.7675
80,0,111.184,-68.5869,199.756,-70.0155,-69.5053,198.904,-66.3019,50.3706,199.71,105.34,50.5032,200.776,-65.0897,71.0462,39.3018,108.519,71.5834,36.7819,-67.6877,-87.5171,36.1523,106.407,-85.6248,35.7119
81,0,111.21,-68.6041,199.775,-70.0106,-69.5082,198.911,-66.2966,50.3823,199.72,105.317,50.482,200.792,-65.0672,71.0637,39.3166,108.524,71.5126,36.749,-67.6787,-87.5323,36.1668,106.415,-85.6271,35.7273
82,0,111.199,-68.5789,199.768,-70.0187,-69.5162,198.933,-66.28,50.355,199.724,105.33,50.5124,200.802,-65.0707,71.0283,39.2884,108.532,71.5519,36.7585,-67.6702,-87.5384,36.1683,106.428,-85.6377,35.7314
83,0,111.203,-68.5946,199.771,-70.0264,-69.5084,198.922,-66.2803,50.3708,199.715,105.311,50.5104,200.793,-65.077,71.0567,39.3186,108.514,71.4945,36.7291,-67.6945,-87.5141,36.147,106.396,-85.6393,35.7517
84,0,111.182,-68.5889,199.754,-70.0231,-69.4876,198.923,-66.2992,50.3577,199.724,105.323,50.5087,200.789,-65.0751,71.0767,39.3381,108.517,71.589,36.7933,-67.6783,-87.5501,36.201,106.412,-85.6104,35.7193
85,0,111.194,-68.5863,199.752,-70.0112,-69.4964,198.926,-66.2908,50.3824,199.748,105.33,50.524,200.807,-65.0661,71.0225,39.2848,108.522,71.5038,36.7481,-67.6828,-87.5044,36.1277,106.381,-85.6677,35.7596
86,0,111.191,-68.5864,199.758,-70.0098,-69.472,198.917,-66.2917,50.3737,199.715,105.317,50.5341,200.775,-65.0749,71.0492,39.3179,108.521,71.4981,36.7425,-67.6809,-87.495,36.1353,106.393,-85.6258,35.7466
87,0,111.205,-68.5736,199.763,-70.0233,-69.4849,198.928,-66.2939,50.3754,199.722,105.312,50.5217,200.803,-65.0666,71.0415,39.294,108.517,71.5133,36.726,-67.7042,-87.521,36.2221,106.409,-85.6082,35.7141
88,0,111.189,-68.5826,199.775,-70.016,-69.4949,198.916,-66.2893,50.3637,199.736,105.335,50.517,200.794,-65.0772,71.0603,39.3123,108.53,71.5786,36.8017,-67.7048,-87.5452,36.1883,106.403,-85.6222,35.7486
89,0,111.211,-68.5883,199.765,-70.0192,-69.4855,198.902,-66.291,50.3654,199.716,105.33,50.4944,200.8,-65.0938,71.0777,39.3071,108.513,71.5016,36.6999,-67.6817,-87.5307,36.2143,106.432,-85.5744,35.6716
90,0,111.212,-68.5885,199.759,-70.0233,-69.4818,198.912,-66.2879,50.3566,199.73,105.323,50.4922,200.788,-65.0647,71.0143,39.2825,108.507,71.4968,36.7145,-67.6796,-87.5409,36.1973,106.415,-85.657,35.7645
91,0,111.193,-68.5969,199.765,-70.013,-69.503,198.92,-66.3004,50.3869,199.723,105.333,50.5156,200.792,-65.0839,71.0279,39.2699,108.526,71.5846,36.7799,-67.6853,-87.4954,36.1785,106.42,-85.645,35.7655
92,0,111.202,-68.5885,199.76,-70.0116,-69.4946,198.918,-66.2937,50.3943,199.742,105.323,50.519,200.812,-65.0716,71.0468,39.2904,108.53,71.5426,36.76,-67.6933,-87.5408,36.2071,106.386,-85.6499,35.7676
93,0,111.193,-68.5971,199.763,-70.0297,-69.5129,198.917,-66.2955,50.3738,199.714,105.306,50.4901,200.814,-65.0835,71.0642,39.2768,108.533,71.5247,36.7521,-67.6861,-87.5706,36.2155,106.391,-85.6563,35.7447
94,0,111.19,-68.5898,199.759,-70.0267,-69.5094,198.9,-66.2815,50.3729,199.726,105.306,50.5008,200.801,-65.0734,71.0452,39.3079,108.524,71.5591,36.8033,-67.7042,-87.5588,36.207,106.414,-85.6235,35.7306
95,0,111.196,-68.5986,199.777,-70.0143,-69.4946,198.919,-66.2905,50.3791,199.711,105.318,50.5122,200.79,-65.0691,71.0714,39.3178,108.54,71.5059,36.7209,-67.6824,-87.576,36.2293,106.424,-85.65,35.7475
96,0,111.194,-68.6172,199.764,-70.0015,-69.4766,198.901,-66.2852,50.3543,199.732,105.32,50.5154,200.799,-65.0733,71.0334,39.2694,108.514,71.5227,36.7247,-67.6973,-87.5832,36.2245,106.423,-85.65,35.7499
97,0,111.182,-68.5782,199.767,-70.0269,-69.5023,198.913,-66.3022,50.3795,199.728,105.327,50.4984,200.782,-65.0813,71.0222,39.2704,108.533,71.5498,36.7566,-67.6783,-87.4945,36.174,106.419,-85.6719,35.7937
98,0,111.206,-68.5957,199.755,-70.0103,-69.4879,198.914,-66.278,50.3671,199.728,105.338,50.4959,200.801,-65.0653,70.9749,39.2618,108.522,71.538,36.7767,-67.6986,-87.5389,36.2111,106.388,-85.6508,35.759
99,0,111.196,-68.5984,199.775,-70.0221,-69.4989,198.914,-66.2883,50.3694,199.727,105.317,50.4837,200.784,-65.0854,70.9877,39.2385,108.532,71.5951,36.8173,-67.6949,-87.536,36.1808,106.401,-85.6639,35.7557
